hs8,country,tariff,effective_date
"01012900","china",.1,24sep2018
"01061990","china",.05,24sep2018
"01062090","china",.05,24sep2018
"01064990","china",.05,24sep2018
"01069090","china",.1,24sep2018
"02011000","china",.25,06jul2018
"02012000","china",.25,06jul2018
"02013000","china",.25,06jul2018
"02021000","china",.25,06jul2018
"02022000","china",.25,06jul2018
"02023000","china",.25,06jul2018
"02031110","china",.25,06jul2018
"02031190","china",.25,06jul2018
"02031200","china",.25,02apr2018
"02031201","mexico",.2,05jun2018
"02031900","china",.25,02apr2018
"02031999","mexico",.2,05jun2018
"02032110","china",.25,06jul2018
"02032190","china",.25,02apr2018
"02032200","china",.25,02apr2018
"02032201","mexico",.2,05jun2018
"02032900","china",.25,02apr2018
"02032999","mexico",.2,05jun2018
"02042200","china",.1,24sep2018
"02062900","china",.25,06jul2018
"02063000","china",.25,06jul2018
"02064100","china",.25,02apr2018
"02064900","china",.25,02apr2018
"02071100","china",.25,06jul2018
"02071200","china",.25,06jul2018
"02071311","china",.25,06jul2018
"02071319","china",.25,06jul2018
"02071321","china",.25,06jul2018
"02071329","china",.25,06jul2018
"02071411","china",.25,06jul2018
"02071419","china",.25,06jul2018
"02071421","china",.25,06jul2018
"02071422","china",.25,06jul2018
"02071429","china",.25,06jul2018
"02072400","china",.25,06jul2018
"02072500","china",.25,06jul2018
"02072600","china",.25,06jul2018
"02072700","china",.25,06jul2018
"02074100","china",.25,06jul2018
"02074200","china",.25,06jul2018
"02074300","china",.25,06jul2018
"02074400","china",.25,06jul2018
"02074500","china",.25,06jul2018
"02075100","china",.25,06jul2018
"02075200","china",.25,06jul2018
"02075300","china",.25,06jul2018
"02075400","china",.25,06jul2018
"02075500","china",.25,06jul2018
"02091000","china",.25,06jul2018
"02101110","china",.25,06jul2018
"02101190","china",.25,06jul2018
"02101200","china",.25,06jul2018
"02101900","china",.25,06jul2018
"02102000","china",.1,24sep2018
"02109900","china",.1,24sep2018
"03011100","china",.25,06jul2018
"03011900","china",.25,06jul2018
"03031100","china",.25,06jul2018
"03031200","china",.25,06jul2018
"03031300","china",.25,06jul2018
"03031400","china",.25,06jul2018
"03031900","china",.25,06jul2018
"03032300","china",.25,06jul2018
"03032400","china",.25,06jul2018
"03032500","china",.25,06jul2018
"03032600","china",.25,06jul2018
"03032900","china",.25,06jul2018
"03033110","china",.25,06jul2018
"03033190","china",.25,06jul2018
"03033200","china",.25,06jul2018
"03033300","china",.25,06jul2018
"03033400","china",.25,06jul2018
"03033900","china",.25,06jul2018
"03034100","china",.25,06jul2018
"03034200","china",.25,06jul2018
"03034300","china",.25,06jul2018
"03034400","china",.25,06jul2018
"03034510","china",.25,06jul2018
"03034520","china",.25,06jul2018
"03034600","china",.25,06jul2018
"03034900","china",.25,06jul2018
"03035100","china",.25,06jul2018
"03035300","china",.25,06jul2018
"03035400","china",.25,06jul2018
"03035500","china",.25,06jul2018
"03035600","china",.25,06jul2018
"03035700","china",.25,06jul2018
"03035900","china",.25,06jul2018
"03036300","china",.25,06jul2018
"03036400","china",.25,06jul2018
"03036500","china",.25,06jul2018
"03036600","china",.25,06jul2018
"03036700","china",.25,06jul2018
"03036800","china",.25,06jul2018
"03036900","china",.25,06jul2018
"03038100","china",.25,06jul2018
"03038200","china",.25,06jul2018
"03038300","china",.25,06jul2018
"03038400","china",.25,06jul2018
"03038910","china",.25,06jul2018
"03038920","china",.25,06jul2018
"03038930","china",.25,06jul2018
"03038990","china",.25,06jul2018
"03039100","china",.25,06jul2018
"03039200","china",.25,06jul2018
"03039900","china",.25,06jul2018
"03046100","china",.25,06jul2018
"03046211","china",.25,06jul2018
"03046219","china",.25,06jul2018
"03046290","china",.25,06jul2018
"03046300","china",.25,06jul2018
"03046900","china",.25,06jul2018
"03047100","china",.25,06jul2018
"03047200","china",.25,06jul2018
"03047300","china",.25,06jul2018
"03047400","china",.25,06jul2018
"03047500","china",.25,06jul2018
"03047900","china",.25,06jul2018
"03048100","china",.25,06jul2018
"03048200","china",.25,06jul2018
"03048300","china",.25,06jul2018
"03048400","china",.25,06jul2018
"03048500","china",.25,06jul2018
"03048600","china",.25,06jul2018
"03048700","china",.25,06jul2018
"03048800","china",.25,06jul2018
"03048900","china",.25,06jul2018
"03049100","china",.25,06jul2018
"03049200","china",.25,06jul2018
"03049300","china",.25,06jul2018
"03049400","china",.25,06jul2018
"03049500","china",.25,06jul2018
"03049600","china",.25,06jul2018
"03049700","china",.25,06jul2018
"03049900","china",.25,06jul2018
"03051000","china",.25,06jul2018
"03052000","china",.25,06jul2018
"03054120","china",.1,24sep2018
"03061100","china",.25,06jul2018
"03061200","china",.25,06jul2018
"03061410","china",.25,06jul2018
"03061490","china",.25,06jul2018
"03061500","china",.25,06jul2018
"03061611","china",.25,06jul2018
"03061612","china",.25,06jul2018
"03061619","china",.25,06jul2018
"03061621","china",.25,06jul2018
"03061629","china",.25,06jul2018
"03061711","china",.25,06jul2018
"03061719","china",.25,06jul2018
"03061721","china",.25,06jul2018
"03061729","china",.25,06jul2018
"03061911","china",.25,06jul2018
"03061919","china",.25,06jul2018
"03061990","china",.25,06jul2018
"03063110","china",.25,06jul2018
"03063190","china",.25,06jul2018
"03063210","china",.25,06jul2018
"03063290","china",.25,06jul2018
"03063310","china",.25,06jul2018
"03063391","china",.25,06jul2018
"03063392","china",.25,06jul2018
"03063399","china",.25,06jul2018
"03063410","china",.25,06jul2018
"03063490","china",.25,06jul2018
"03063510","china",.25,06jul2018
"03063520","china",.25,06jul2018
"03063590","china",.25,06jul2018
"03063610","china",.25,06jul2018
"03063620","china",.25,06jul2018
"03063690","china",.25,06jul2018
"03063910","china",.25,06jul2018
"03063990","china",.25,06jul2018
"03069100","china",.25,06jul2018
"03069200","china",.25,06jul2018
"03069310","china",.25,06jul2018
"03069320","china",.25,06jul2018
"03069390","china",.25,06jul2018
"03069400","china",.25,06jul2018
"03069510","china",.25,06jul2018
"03069590","china",.25,06jul2018
"03069900","china",.25,06jul2018
"03071110","china",.25,06jul2018
"03071190","china",.25,06jul2018
"03071200","china",.25,06jul2018
"03071900","china",.25,06jul2018
"03072110","china",.25,06jul2018
"03072190","china",.25,06jul2018
"03072200","china",.25,06jul2018
"03072900","china",.25,06jul2018
"03073110","china",.25,06jul2018
"03073190","china",.25,06jul2018
"03073200","china",.25,06jul2018
"03073900","china",.25,06jul2018
"03074210","china",.25,06jul2018
"03074291","china",.25,06jul2018
"03074299","china",.25,06jul2018
"03074310","china",.25,06jul2018
"03074390","china",.25,06jul2018
"03074910","china",.25,06jul2018
"03074990","china",.25,06jul2018
"03075100","china",.25,06jul2018
"03075200","china",.25,06jul2018
"03075900","china",.25,06jul2018
"03076010","china",.25,06jul2018
"03076090","china",.25,06jul2018
