hs10,hs10_desc,wave,effective_date,tariff
"0203292000","MEAT OF SWINE, PROCESSED, FROZEN, NESOI","China",24sep2018,.1
"0203294000","MEAT OF SWINE, FROZEN, NESOI","China",24sep2018,.1
"0206100000","OFFAL OF BOVINES, EDIBLE, FRESH OR CHILLED","China",24sep2018,.1
"0208100000","MEAT AND EDIBLE OFFAL OF RABBITS OR HARES, FRESH, CHILLED OR FROZEN","China",24sep2018,.1
"0208902000","MEAT AND EDIBLE OFFAL OF DEER, FRESH, CHILLED OR FROZEN","China",24sep2018,.1
"0208902500","FROG'S LEGS, FRESH, CHILLED OR FROZEN","China",24sep2018,.1
"0210190000","MEAT OF SWINE, SALTED, IN BRINE, DRIED OR SMOKED, NESOI","China",24sep2018,.1
"0210190010","BACON OF SWINE, CANADIAN STYLE","China",24sep2018,.1
"0210190090","MEAT OF SWINE, SALTED, IN BRINE, DRIED OR SMOKED, NESOI","China",24sep2018,.1
"0301110000","ORNAMENTAL FRESHWATER FISH, LIVE","China",24sep2018,.1
"0301110010","KOI (COMMON) CARP (CYPRINUS CARPIO), LIVE","China",24sep2018,.1
"0301110020","GOLDFISH (CARASSIUS AURATUS) AND CRUCIAN CARP (CARASSIUS CARASSIUS), LIVE","China",24sep2018,.1
"0301110090","FRESHWATER FISH, ORNAMENTAL, LIVE, NESOI","China",24sep2018,.1
"0301190000","FISH, ORNAMENTAL, LIVE, OTHER THAN FRESHWATER","China",24sep2018,.1
"0301910000","TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, CLARKI, AGUABONITA, GILAE, APACHE AND CHRYSOGASTER), LIVE","China",24sep2018,.1
"0301920000","EELS (ANGUILLA SPP.), LIVE","China",24sep2018,.1
"0301930200","CARP (CYPRINUS CARPIO, CARASSIUS CARASSIUS, CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS), LIVE","China",24sep2018,.1
"0301930290","CARP, LIVE, NESOI","China",24sep2018,.1
"0301940100","ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), LIVE","China",24sep2018,.1
"0301950000","SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII), LIVE","China",24sep2018,.1
"0301990300","FISH, LIVE, OTHER","China",24sep2018,.1
"0301990390","FISH, LIVE, NESOI","China",24sep2018,.1
"0302110010","RAINBOW TROUT (SALMO GAIRDNERI), FARMED, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302110090","TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, CLARKI, AGUABONITA, GILAE, APACHE & CHRYSOGASTER), FR/CH, EXCEPT FARMED RAINBOW TROUT; FILLETS, LIVER & ROE","China",24sep2018,.1
"0302130012","CHINOOK (KING) SALMON, EXCLUDING FILLETS, LIVERS AND ROES, FRESH OR CHILLED","China",24sep2018,.1
"0302130013","CHINOOK (KING) SALMON, FARMED, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302130014","CHINOOK (KING) SALMON, FRESH OR CHILLED, EXCEPT FARMED, FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302130022","CHUM (DOG) SALMON, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302130032","PINK (HUMPIE) SALMON, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302130042","SOCKEYE (RED) SALMON, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302130052","COHO (SILVER) SALMON, EXCLUDING FILLETS, LIVERS AND ROES, FRESH OR CHILLED","China",24sep2018,.1
"0302130053","COHO (SILVER) SALMON, FARMED, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302130054","COHO (SILVER) SALMON, FRESH OR CHILLED, EXCEPT FARMED, FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302130062","PACIFIC SALMON (ONCORHYNCHUS NERKA, ONCORHYNCH GORBUSCHA, ETC), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302140003","ATLANTIC SALMON (SALMO SALAR), FARMED, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302140004","ATLANTIC SALMON (SALMO SALAR), FRESH OR CHILLED, EXCEPT FARMED, FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302140062","DANUBE SALMON (HUCHO HUCHO), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302190000","SALMONIDAE, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302210000","HALIBUT AND GREENLAND TURBOT (REINHARDTIUS HIPPOGLOSSOIDES, HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS), EXCL FILLETS, LIVERS, ROES, FRESH, CH","China",24sep2018,.1
"0302210010","ATLANTIC HALIBUT (HIPPOGLOSSUS HIPPOGLOSSUS), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302210020","PACIFIC HALIBUT (HIPPOGLOSSUS STENOLEPIS), FRESH OR CHILLED, EXCEPT  FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302210090","GREENLAND HALIBUT/TURBOT (REINHARDTIUS HIPPOGLOSSOIDES), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302220000","PLAICE (PLEURONECTES PLATESSA), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302230000","SOLE (SOLEA SPP.), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302240000","TURBOTS (PSETTA MAXIMA), FRESH OR CHILLED, EXCLEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302290100","FLATFISH, NESOI, EXCLUDING FILLETS, LIVERS AND ROES, FRESH OR CHILLED","China",24sep2018,.1
"0302290110","FLOUNDER, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302290190","FLATFISH (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE AND CITHARIDAE), FRESH OR CHILLED, EXCLEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302310000","ALBACORE OR LONGFINNED TUNAS (THUNNUS ALALUNGA), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302320000","YELLOWFIN TUNAS (THUNNUS ALBACARES), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302340000","BIGEYE TUNAS (THUNNUS OBESUS), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302350100","ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302360000","SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302390200","TUNAS (OF GENUS THUNNUS), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302410000","HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302420000","ANCHOVIES, FRESH OR CHILLED, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304","China",24sep2018,.1
