country,iso3,hs8,year,tariff_max,tariff_scaled,effective_mdate
"AUSTRIA","AUT",7133350,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",7133350,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",10063090,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",10063090,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",22083090,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",22083090,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",24039900,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",24039900,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",33011200,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",33011200,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",33029000,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",33029000,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",33041000,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",33041000,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",33042000,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",33042000,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",33043000,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",33043000,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",33049100,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",33049100,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",48183000,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",48183000,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",48185000,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",48185000,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",48189000,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",48189000,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",59111020,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",59111020,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",59113100,2018,0.250,0.146,2018m6
"AUSTRIA","AUT",59113100,2019,0.250,0.250,2018m6
"AUSTRIA","AUT",59113200,2018,0.250,0.146,2018m6
