country,iso3,hs10,year,tariff_max,tariff_scaled,effective_mdate
"ALBANIA","ALB",7604291000,2018,.1,.0833333,2018m3
"ALBANIA","ALB",7604291000,2019,.1,.1,2018m3
"ALGERIA","DZA",7214200000,2018,.25,.2083333,2018m3
"ALGERIA","DZA",7214200000,2019,.25,.25,2018m3
"ALGERIA","DZA",7228308010,2018,.25,.2083333,2018m3
"ALGERIA","DZA",7228308010,2019,.25,.25,2018m3
"ANGUILLA","AIA",7606123030,2018,.1,.0833333,2018m3
"ANGUILLA","AIA",7606123030,2019,.1,.1,2018m3
"ANGUILLA","AIA",7606123090,2018,.1,.0833333,2018m3
"ANGUILLA","AIA",7606123090,2019,.1,.1,2018m3
"ARGENTINA","ARG",8450200080,2018,.2,.1833333,2018m2
"ARGENTINA","ARG",8450200080,2019,.2,.2,2018m2
"ARMENIA","ARM",7607113000,2018,.1,.0833333,2018m3
"ARMENIA","ARM",7607113000,2019,.1,.1,2018m3
"ARMENIA","ARM",7607116000,2018,.1,.0833333,2018m3
"ARMENIA","ARM",7607116000,2019,.1,.1,2018m3
"ARMENIA","ARM",7607116010,2018,.1,.0833333,2018m3
"ARMENIA","ARM",7607116010,2019,.1,.1,2018m3
"ARMENIA","ARM",7607116090,2018,.1,.0833333,2018m3
"ARMENIA","ARM",7607116090,2019,.1,.1,2018m3
"ARMENIA","ARM",7607119090,2018,.1,.0833333,2018m3
"ARMENIA","ARM",7607119090,2019,.1,.1,2018m3
"AUSTRALIA","AUS",8450110010,2018,.2,.1833333,2018m2
"AUSTRALIA","AUS",8450110010,2019,.2,.2,2018m2
"AUSTRALIA","AUS",8450906000,2018,.5,.4583333,2018m2
"AUSTRALIA","AUS",8450906000,2019,.5,.5,2018m2
"AUSTRALIA","AUS",8541406015,2018,.3,.275,2018m2
"AUSTRALIA","AUS",8541406015,2019,.3,.3,2018m2
"AUSTRALIA","AUS",8541406025,2018,.3,.275,2018m2
"AUSTRALIA","AUS",8541406025,2019,.3,.3,2018m2
"AUSTRALIA","AUS",8541406035,2018,.3,.275,2018m2
"AUSTRALIA","AUS",8541406035,2019,.3,.3,2018m2
"AUSTRALIA","AUS",8541406050,2018,.3,.275,2018m2
"AUSTRALIA","AUS",8541406050,2019,.3,.3,2018m2
"AUSTRIA","AUT",406909500,2018,0,0,2019m9
"AUSTRIA","AUT",406909500,2019,.25,.0833333,2019m9
"AUSTRIA","AUT",406909900,2018,0,0,2019m9
"AUSTRIA","AUT",406909900,2019,.25,.0833333,2019m9
"AUSTRIA","AUT",2008979094,2018,0,0,2019m9
"AUSTRIA","AUT",2008979094,2019,.4,.1333333,2019m9
"AUSTRIA","AUT",2009896511,2018,0,0,2019m9
"AUSTRIA","AUT",2009896511,2019,.25,.0833333,2019m9
"AUSTRIA","AUT",2009896590,2018,0,0,2019m9
"AUSTRIA","AUT",2009896590,2019,.25,.0833333,2019m9
"AUSTRIA","AUT",2009898031,2018,0,0,2019m9
"AUSTRIA","AUT",2009898031,2019,.4,.1333333,2019m9
"AUSTRIA","AUT",2009898039,2018,0,0,2019m9
"AUSTRIA","AUT",2009898039,2019,.4,.1333333,2019m9
"AUSTRIA","AUT",7207190090,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7207190090,2019,.25,.25,2018m6
"AUSTRIA","AUT",7207200075,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7207200075,2019,.25,.25,2018m6
"AUSTRIA","AUT",7208270060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7208270060,2019,.25,.25,2018m6
